Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.30.0.7-172.30.0.2-42633-0-6,172.30.0.7,42633,172.30.0.2,0,6,17/06/2025 10:16:12 PM,1910809,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0466770880815404,1910809.0,0.0,1910809.0,1910809.0,1910809.0,1910809.0,0.0,1910809.0,1910809.0,0,0,0,0,0,0,0,0,0,40,0,1.0466770880815404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572698818E15,0.0,1.750198572698818E15,1.750198572698818E15,NeedManualLabel
172.30.0.7-172.30.0.2-8627-0-6,172.30.0.7,8627,172.30.0.2,0,6,17/06/2025 10:16:12 PM,2892385,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6914708795682456,2892385.0,0.0,2892385.0,2892385.0,2892385.0,2892385.0,0.0,2892385.0,2892385.0,0,0,0,0,0,0,0,0,0,40,0,0.6914708795682456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572161526E15,0.0,1.750198572161526E15,1.750198572161526E15,NeedManualLabel
172.30.0.7-172.30.0.2-12971-0-6,172.30.0.7,12971,172.30.0.2,0,6,17/06/2025 10:16:13 PM,927487,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.1563644557821298,927487.0,0.0,927487.0,927487.0,927487.0,927487.0,0.0,927487.0,927487.0,0,0,0,0,0,0,0,0,0,40,0,2.1563644557821298,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198573263559E15,0.0,1.750198573263559E15,1.750198573263559E15,NeedManualLabel
172.30.0.7-172.30.0.2-10114-0-6,172.30.0.7,10114,172.30.0.2,0,6,17/06/2025 10:16:12 PM,2889367,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6921931343439583,2889367.0,0.0,2889367.0,2889367.0,2889367.0,2889367.0,0.0,2889367.0,2889367.0,0,0,0,0,0,0,0,0,0,40,0,0.6921931343439583,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572184355E15,0.0,1.750198572184355E15,1.750198572184355E15,NeedManualLabel
172.30.0.7-172.30.0.2-38414-0-6,172.30.0.7,38414,172.30.0.2,0,6,17/06/2025 10:16:12 PM,992705,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0146972161921215,992705.0,0.0,992705.0,992705.0,992705.0,992705.0,0.0,992705.0,992705.0,0,0,0,0,0,0,0,0,0,40,0,2.0146972161921215,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572633363E15,0.0,1.750198572633363E15,1.750198572633363E15,NeedManualLabel
172.30.0.7-172.30.0.2-31207-0-6,172.30.0.7,31207,172.30.0.2,0,6,17/06/2025 10:16:13 PM,1849585,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.081323648277857,1849585.0,0.0,1849585.0,1849585.0,1849585.0,1849585.0,0.0,1849585.0,1849585.0,0,0,0,0,0,0,0,0,0,40,0,1.081323648277857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198573525472E15,0.0,1.750198573525472E15,1.750198573525472E15,NeedManualLabel
172.30.0.7-172.30.0.2-16173-0-6,172.30.0.7,16173,172.30.0.2,0,6,17/06/2025 10:16:12 PM,1029050,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9435401583985228,1029050.0,0.0,1029050.0,1029050.0,1029050.0,1029050.0,0.0,1029050.0,1029050.0,0,0,0,0,0,0,0,0,0,40,0,1.9435401583985228,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572280436E15,0.0,1.750198572280436E15,1.750198572280436E15,NeedManualLabel
172.30.0.7-172.30.0.2-59347-0-6,172.30.0.7,59347,172.30.0.2,0,6,17/06/2025 10:16:12 PM,953225,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0981405229615255,953225.0,0.0,953225.0,953225.0,953225.0,953225.0,0.0,953225.0,953225.0,0,0,0,0,0,0,0,0,0,40,0,2.0981405229615255,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572963899E15,0.0,1.750198572963899E15,1.750198572963899E15,NeedManualLabel
172.30.0.7-172.30.0.2-61793-0-6,172.30.0.7,61793,172.30.0.2,0,6,17/06/2025 10:16:12 PM,951137,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.102746502344037,951137.0,0.0,951137.0,951137.0,951137.0,951137.0,0.0,951137.0,951137.0,0,0,0,0,0,0,0,0,0,40,0,2.102746502344037,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198572999387E15,0.0,1.750198572999387E15,1.750198572999387E15,NeedManualLabel
172.30.0.7-172.30.0.2-50367-0-6,172.30.0.7,50367,172.30.0.2,0,6,17/06/2025 10:16:11 PM,2014285,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9929081535135296,2014285.0,0.0,2014285.0,2014285.0,2014285.0,2014285.0,0.0,2014285.0,2014285.0,0,0,0,0,0,0,0,0,0,40,0,0.9929081535135296,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,0,0,0,0,1.750198571777178E15,0.0,1.750198571777178E15,1.750198571777178E15,NeedManualLabel
