Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
1,5002017.000,3479,0,1516844,0,436.000,0.000,0.000,0.000,303246.470,695.519,1366.880,1481.207,1367.667,1481.206,0.000,0.000,695.519,0.000,436.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3479,1516844,0,0,0.000,1.000
1,32989560.000,13634,0,40574784,0,2976.000,0.000,0.000,0.000,1229928.014,413.282,2157.270,2756.562,2157.587,2756.562,0.000,0.000,413.282,0.000,2976.000,0.000,0,0,0,0,0,0,2976.000,13633.000,0.000,0.000,13634,40574784,0,0,0.000,1.000
1,23008005.000,10989,1,29560410,2690,2690.000,0.000,2690.000,0.000,1284904.971,477.660,1878.834,2427.202,1879.347,2427.201,0.000,0.000,477.616,15.085,2690.000,0.000,0,0,0,0,0,0,2690.000,10988.000,2690.000,1.000,10989,29560410,1,2690,0.000,1.000
1,15979992.000,1850,0,129500,0,70.000,0.000,0.000,0.000,8103.884,115.770,8591.831,9484.623,8601.129,9484.619,0.000,0.000,115.770,0.000,70.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1850,129500,0,0,0.000,1.000
1,31046143.000,12463,0,49852,0,4.000,0.000,0.000,0.000,1605.739,401.435,2231.433,2338.751,2231.791,2338.751,0.000,0.000,401.435,0.000,4.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,12463,49852,0,0,0.000,1.000
1,32067202.000,11921,0,47684,0,4.000,0.000,0.000,0.000,1487.002,371.751,2438.431,2576.320,2438.840,2576.320,0.000,0.000,371.751,0.000,4.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,11921,47684,0,0,0.000,1.000
1,22977667.000,4564,0,11692968,0,2562.000,0.000,0.000,0.000,508884.039,198.628,4930.364,5849.912,4932.525,5849.912,0.000,0.000,198.628,0.000,2562.000,0.000,0,0,0,0,0,0,2562.000,4563.000,0.000,0.000,4564,11692968,0,0,0.000,1.000
1,45082996.000,13155,0,131550,0,10.000,0.000,0.000,0.000,2917.952,291.795,3126.985,4068.032,3127.461,4068.032,0.000,0.000,291.795,0.000,10.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,13155,131550,0,0,0.000,1.000
1,52936712.000,15645,0,3410610,0,218.000,0.000,0.000,0.000,64428.066,295.542,3033.922,4297.759,3034.310,4297.759,0.000,0.000,295.542,0.000,218.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15642,3409956,0,0,0.000,1.000
1,4917456.000,301,0,895776,0,2976.000,0.000,0.000,0.000,182162.484,61.211,16314.924,21373.028,16424.054,21372.750,0.000,0.000,61.211,0.000,2976.000,0.000,0,0,0,0,0,0,2976.000,300.000,0.000,0.000,301,895776,0,0,0.000,1.000
