Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
1,55.000,1,1,60,60,60.000,0.000,60.000,0.000,2181818.182,36363.636,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18181.818,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,3729072.000,5,5,300,300,60.000,0.000,60.000,0.000,160.898,2.682,675498.400,342347.976,1008666.000,109495.280,932246.500,216660.454,1.341,1.341,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,4,240,0.000,1.000
1,90.000,1,1,60,60,60.000,0.000,60.000,0.000,1333333.333,22222.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11111.111,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,67.000,1,1,60,60,60.000,0.000,60.000,0.000,1791044.776,29850.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14925.373,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,56.000,1,1,60,60,60.000,0.000,60.000,0.000,2142857.143,35714.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17857.143,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,72.000,1,1,60,60,60.000,0.000,60.000,0.000,1666666.667,27777.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13888.889,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,4000882.000,5,5,300,300,60.000,0.000,60.000,0.000,149.967,2.499,699768.600,300756.373,998970.333,6718.990,1000193.750,29407.581,1.251,1.250,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,4,240,0.000,1.000
1,9089178.000,10,10,600,600,60.000,0.000,60.000,0.000,132.025,2.200,857809.400,156527.375,1008382.125,39087.685,1009903.444,40442.827,1.100,1.100,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,6081602.000,7,7,420,420,60.000,0.000,60.000,0.000,138.122,2.302,792384.643,223945.225,1002377.400,72947.955,1013583.000,42821.356,1.163,1.151,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,420,6,360,0.000,1.000
1,20112139.000,20,20,2080,2080,104.000,0.000,104.000,0.000,206.840,1.989,969467.825,262137.027,1037037.056,216236.082,1058528.737,277958.224,1.004,0.994,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,2080,19,1976,0.000,1.000
