Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
6,11069714.000,20,13,966,293,48.000,181.212,22.000,36.634,113.734,2.981,670877.848,1064702.361,614974.722,1001815.912,922452.000,1122741.208,1.807,1.174,38.000,140.226,3,2,3,14,29,0,0.000,0.000,0.000,0.000,19,915,13,293,0.000,1.000
6,4808284.000,35,41,2576,6808,73.000,213.751,166.000,344.758,1951.632,15.806,126243.105,369931.411,145041.030,382598.221,120203.050,358688.193,7.312,8.527,123.000,294.541,0,2,0,44,75,0,1288.000,1.000,1296.000,3.000,33,2552,39,6808,0.000,1.000
6,5071516.000,7,6,278,3380,39.000,103.864,563.000,648.537,721.283,2.563,776820.308,2021587.273,1014270.400,2016807.303,1005462.400,1999364.588,1.380,1.193,281.000,517.066,1,2,0,3,12,0,0.000,0.000,1448.000,2.000,6,278,5,3380,0.000,1.000
6,5073835.000,8,7,278,3380,34.000,97.447,482.000,631.960,720.954,2.956,670645.933,1862195.880,841958.167,1862831.762,834656.667,1846390.375,1.577,1.392,243.000,490.775,2,2,0,3,14,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.000,1.000
6,596083.000,16,19,1792,3208,112.000,314.065,168.000,299.973,8388.094,58.717,34053.657,39627.907,42562.714,47075.410,33111.111,31795.270,26.845,31.875,142.000,303.779,0,2,0,20,34,0,1288.000,1.000,1136.000,1.000,14,1768,17,3168,0.000,1.000
6,5052677.000,8,7,278,3864,34.000,97.447,552.000,601.070,819.763,2.969,670495.200,1871898.325,841505.667,1872617.861,834732.333,1856095.529,1.583,1.398,276.000,489.589,1,2,0,3,14,0,0.000,0.000,1448.000,2.000,6,0,5,3864,0.000,1.000
6,6819062.000,44,56,3120,9496,70.000,190.604,169.000,322.354,1850.108,14.665,136373.960,360938.737,162347.500,381811.173,123978.200,343175.312,6.453,8.212,126.000,276.152,0,2,0,60,99,0,1288.000,1.000,1344.000,3.000,42,3096,54,9496,0.000,1.000
6,5180148.000,8,7,278,3380,34.000,97.447,482.000,631.960,706.157,2.896,681870.667,1893339.107,863323.667,1910067.729,841353.000,1860845.886,1.544,1.387,243.000,490.775,2,2,0,3,14,0,0.000,0.000,1448.000,2.000,7,278,6,3380,0.000,1.000
6,14874260.000,66,82,4192,11112,63.000,156.780,135.000,273.458,1028.892,9.950,200998.223,513608.975,232402.984,538308.695,183628.963,492122.116,4.437,5.513,103.000,231.375,0,2,0,92,147,0,1288.000,1.000,1296.000,3.000,65,4192,81,11112,0.000,1.000
6,12150641.000,19,13,606,293,31.000,106.907,22.000,36.634,73.988,2.634,759395.531,1091742.730,714735.235,1039294.035,1012513.167,1132849.955,1.564,1.070,28.000,83.813,2,2,3,14,28,0,0.000,0.000,0.000,0.000,18,606,12,293,0.000,1.000
