Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
4635.000,3,4,124,96,41.000,41.000,24.000,25.456,47464.941,1510.248,1064.571,1954.086,3409.000,0.000,1347.667,1782.978,698.812,862.999,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
4790.000,3,4,124,96,41.000,41.000,24.000,25.456,45929.019,1461.378,1078.571,1957.808,3396.000,0.000,1384.667,1796.337,685.088,835.073,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
3978.000,8,6,278,3380,34.000,97.447,563.000,648.537,919557.567,3519.356,485.929,571.421,574.500,559.488,671.200,546.789,2011.061,1652.437,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.007,0.993
6016424.000,17,10,577,331,33.000,117.420,33.000,47.482,150.920,4.488,445611.704,490603.685,401045.467,475543.618,668426.000,460419.288,2.826,1.662,33.000,95.109,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,577,10,331,0.000,1.000
4608.000,8,6,278,3380,34.000,97.447,563.000,648.537,793836.806,3038.194,574.000,711.674,661.667,731.765,813.200,636.584,1736.111,1394.376,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.006,0.994
5016.000,8,6,278,3380,34.000,97.447,563.000,648.537,729266.348,2791.069,575.714,737.383,668.500,792.551,809.800,614.265,1594.896,1270.648,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.006,0.994
4992.000,8,6,278,3380,34.000,97.447,563.000,648.537,732772.436,2804.487,601.857,756.262,709.833,760.963,833.400,704.111,1602.564,1297.017,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
6014653.000,17,10,1054,331,62.000,232.661,33.000,47.482,230.271,4.489,445431.259,493964.618,400884.200,480426.254,668153.444,461600.009,2.826,1.663,51.000,182.346,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,1054,10,331,0.000,1.000
6019181.000,17,10,626,331,36.000,129.239,33.000,47.482,158.992,4.486,445837.704,502560.156,401250.067,488474.926,668763.000,472040.806,2.824,1.661,35.000,103.846,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,626,10,331,0.000,1.000
5126.000,8,6,278,3380,34.000,97.447,563.000,648.537,713616.855,2731.174,586.429,682.937,692.500,673.736,811.000,646.104,1560.671,1248.439,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.007,0.993
305179.000,21,19,3676,4120,175.000,391.838,216.000,404.688,25545.663,131.071,15226.700,21580.143,16032.421,20182.996,16914.000,22885.830,68.812,62.352,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
284898.000,21,17,3676,4120,175.000,391.838,242.000,420.543,27364.179,133.381,14962.263,21257.988,14960.421,17152.181,17769.875,25125.559,73.711,59.727,205.000,402.312,0,2,0,22,37,0,1328.000,2.000,1292.000,2.000,21,3676,17,4120,0.000,1.000
4434.000,3,4,124,96,41.000,41.000,24.000,25.456,49616.599,1578.710,1030.571,1882.690,3300.000,0.000,1304.667,1712.930,730.105,902.120,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
2302.000,3,4,124,96,41.000,41.000,24.000,25.456,95569.070,3040.834,479.000,864.969,1488.000,0.000,621.667,798.653,1427.891,1737.619,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
6017120.000,17,10,476,331,28.000,93.062,33.000,47.482,134.117,4.487,445669.556,494462.208,401094.000,480357.117,668518.667,463072.391,2.825,1.662,29.000,77.479,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,476,10,331,0.000,1.000
6018416.000,19,13,788,331,41.000,151.613,25.000,43.920,185.929,5.317,376104.906,481716.167,353967.588,462847.443,501492.333,490798.375,3.157,2.160,34.000,117.595,2,2,3,14,28,0,0.000,0.000,0.000,0.000,19,788,13,331,0.000,1.000
3295.000,8,6,278,3380,34.000,97.447,563.000,648.537,1110166.920,4248.862,407.071,525.870,468.500,573.251,577.600,424.781,2427.921,1942.376,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.008,0.992
4651.000,8,6,278,3380,34.000,97.447,563.000,648.537,786497.527,3010.105,498.214,598.826,585.000,575.402,693.000,587.042,1720.060,1339.585,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.004,0.996
279806.000,21,17,3676,4120,175.000,391.838,242.000,420.543,27862.162,135.808,14700.974,21462.746,14701.684,17179.967,17456.562,25486.963,75.052,60.822,205.000,402.312,0,2,0,22,37,0,1328.000,2.000,1292.000,2.000,21,3676,17,4120,0.000,1.000
5322.000,8,6,278,3380,34.000,97.447,563.000,648.537,687335.588,2630.590,624.857,646.750,739.333,638.950,862.400,598.472,1503.194,1233.299,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
4189.000,3,4,124,96,41.000,41.000,24.000,25.456,52518.501,1671.043,978.857,1773.836,3104.000,0.000,1249.333,1617.640,765.111,954.882,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
5661.000,8,6,278,3380,34.000,97.447,563.000,648.537,646175.587,2473.061,696.357,803.163,843.000,858.551,938.200,671.066,1413.178,1207.243,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
318401.000,21,19,3676,4120,175.000,391.838,216.000,404.688,24484.848,125.628,15883.625,22843.053,16721.684,20384.683,17646.278,25102.399,65.955,59.756,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
6015668.000,17,10,815,331,47.000,174.893,33.000,47.482,190.503,4.488,445545.222,493420.382,400986.267,479917.181,668325.222,460900.062,2.826,1.662,42.000,138.180,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,815,10,331,0.000,1.000
5144.000,8,6,278,3380,34.000,97.447,563.000,648.537,711119.751,2721.617,638.357,741.182,738.000,747.826,901.800,675.399,1555.210,1253.918,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.006,0.994
5354.000,3,4,124,96,41.000,41.000,24.000,25.456,41090.773,1307.434,1209.571,2247.766,3839.000,0.000,1542.667,2078.705,602.894,747.105,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.002,0.998
6018729.000,17,10,494,331,29.000,97.396,33.000,47.482,137.072,4.486,445799.741,494238.573,401218.133,480685.649,668702.333,461839.212,2.825,1.662,30.000,80.570,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,494,10,331,0.000,1.000
